contributor,total,to_dems,to_repubs,to_liberal_groups,to_conservative_groups,to_nonpartisan_groups,lean,industry
Richard & Barbara Gaby Foundation,600000,0,100000,0,500000,0,Leans Conservative,"Non-profits, Foundations & Philanthropists"
Sarah & Ross Perot Jr Foundation,555600,0,555600,0,0,0,Leans Republican,"Non-profits, Foundations & Philanthropists"
Year Up Inc,554449,54448,1,500000,0,0,Leans Liberal,"Non-profits, Foundations & Philanthropists"
Astera Institute,503300,3300,0,500000,0,0,Leans Liberal,"Non-profits, Foundations & Philanthropists"
Scott Foundation (California),502109,337109,0,140000,0,25000,Leans Democrat,"Non-profits, Foundations & Philanthropists"
Claremont Institute,500930,0,930,0,500000,0,Leans Conservative,"Non-profits, Foundations & Philanthropists"
Burke Museum/University of Washington,483033,83033,0,400000,0,0,Leans Liberal,"Non-profits, Foundations & Philanthropists"
Anthropocene Institute,404100,404100,0,0,0,0,Leans Democrat,"Non-profits, Foundations & Philanthropists"
Lambent Foundation,392025,47025,0,342500,0,0,Leans Liberal,"Non-profits, Foundations & Philanthropists"
GEO Group,625984,28454,437168,300,160000,0,Leans Republican,For-profit Prisons
Geo Acquisition Ii,300000,0,0,0,300000,0,Leans Conservative,For-profit Prisons
CoreCivic Inc,197863,31347,161501,25000,0,0,Leans Republican,For-profit Prisons
Management & Training Corp,24741,1295,23400,0,0,0,Leans Republican,For-profit Prisons
University of California,2628082,2142193,94592,350001,0,35103,Leans Democrat,Education
Stanford University,1148744,965564,49563,139002,0,10000,Leans Democrat,Education
Vassar College,1012348,9892,50,1001894,0,0,Leans Liberal,Education
Harvard University,971402,707038,121547,124670,0,2200,Leans Democrat,Education
Emory University,795544,665104,15889,104766,0,0,Leans Democrat,Education
Johns Hopkins University,710798,665173,26532,10590,0,0,Leans Democrat,Education
University of Michigan,599950,554306,18212,15422,0,0,Leans Democrat,Education
University of California/San Francisco,588905,205417,6536,376573,0,0,Leans Liberal,Education
Columbia University,575816,528132,21997,18672,0,0,Leans Democrat,Education
University of Washington,544522,499340,8690,29814,0,0,Leans Democrat,Education
Massachusetts Institute of Technology,483106,375082,60756,28372,0,0,Leans Democrat,Education
University of Wisconsin,446033,416668,16122,3795,0,0,Leans Democrat,Education
California State University,439286,311716,27981,38123,500,54000,Leans Democrat,Education
University of Texas,438923,370971,50631,10807,225,1333,Leans Democrat,Education
University of Maryland,389182,359669,18754,6179,0,0,Leans Democrat,Education
Duke University,389081,320632,24695,27143,10000,0,Leans Democrat,Education
City University of New York,375857,304109,21240,10262,0,11000,Leans Democrat,Education
University of Pennsylvania,356298,325062,16741,1546,0,0,Leans Democrat,Education
University of Southern California,334201,283425,22115,5801,0,0,Leans Democrat,Education
Northwestern University,334120,298666,26670,6655,0,0,Leans Democrat,Education
Cumberland Development,1477096,0,477096,0,1000000,0,Leans Conservative,Mining
Alliance Coal,963846,32,963814,0,0,0,Leans Republican,Mining
NACCO Industries,143100,0,143100,0,0,0,Leans Republican,Mining
Drummond Co,139317,5210,128107,0,6000,0,Leans Republican,Mining
Cleveland-Cliffs,120073,56628,60912,1829,0,0,Leans Republican,Mining
Middleton Oil Co,92375,0,92375,0,0,0,Leans Republican,Mining
National Mining Assn,84602,5500,79102,0,0,0,Leans Republican,Mining
Arch Resources,70875,630,70245,0,0,0,Leans Republican,Mining
Freeport-McMoRan,62818,16111,40807,0,0,0,Leans Republican,Mining
Robindale Energy Services,60212,22000,38212,0,0,0,Leans Republican,Mining
Cumberland Resources,54500,0,54500,0,0,0,Leans Republican,Mining
MP Materials,54355,8600,45350,0,0,405,Leans Republican,Mining
Peabody Energy,52500,1817,44683,0,6000,0,Leans Republican,Mining
American Consolidated Natural Resources,51720,10,31700,0,20000,0,Leans Republican,Mining
Consol Energy,48103,6553,25550,0,16000,0,Leans Republican,Mining
Jmp Coal Holdings,44800,10000,34800,0,0,0,Leans Republican,Mining
Boich Companies,38200,23200,15000,0,0,0,Leans Democrat,Mining
River Trading,38200,0,34900,0,0,0,Leans Republican,Mining
Coeur Mining,30143,5510,24608,0,0,0,Leans Republican,Mining
Frank Calandra Inc,30000,0,30000,0,0,0,Leans Republican,Mining
Carpenters & Joiners Union,19423330,989528,73734,18360818,0,0,Leans Liberal,Labor
National Education Assn,8575549,1211771,8741,7372677,0,14000,Leans Liberal,Labor
Communications Workers Of America,5944089,689013,13281,5240189,0,0,Leans Liberal,Labor
UNITE HERE,4298926,291288,140,4005585,0,0,Leans Liberal,Labor
United Food & Commercial Workers Union,3557485,850827,298,2701050,0,0,Leans Liberal,Labor
Laborers Union,2889263,1039109,91390,1791164,0,0,Leans Liberal,Labor
International Brotherhood of Electrical Workers,2753316,1619889,35048,1060620,35000,1500,Leans Democrat,Labor
American Federation of State/Cnty/Munic Employees,2650516,1729514,0,938700,0,0,Leans Democrat,Labor
Operating Engineers Union,2062643,841294,216219,1057400,0,0,Leans Liberal,Labor
American Federation of Teachers,1860132,1327343,1360,583447,0,0,Leans Democrat,Labor
Service Employees International Union,1842008,1247258,370,632885,0,0,Leans Democrat,Labor
Sheet Metal Air Rail & Transportation Union,1323325,1197000,24000,120000,0,0,Leans Democrat,Labor
AFT Solidarity,1303000,0,0,1303000,0,0,Leans Liberal,Labor
Air Line Pilots Assn,1251530,730101,521104,250,0,0,Leans Democrat,Labor
Plumbers/Pipefitters Union,1232452,577232,80062,570124,0,3005,Leans Democrat,Labor
Amalgamated Transit Union,1170671,390421,0,780000,0,250,Leans Liberal,Labor
National Air Traffic Controllers Assn,1142000,731500,407000,0,0,0,Leans Democrat,Labor
International Assn of Fire Fighters,1063252,842252,221000,0,0,0,Leans Democrat,Labor
United Steelworkers,1017213,315562,0,701224,0,0,Leans Liberal,Labor
Machinists/Aerospace Workers Union,994714,962149,22501,0,0,0,Leans Democrat,Labor
Wakefern Food,594898,18355,76139,0,500000,0,Leans Conservative,Food Processing & Sales
Wonderful Co,578944,521949,38695,38300,0,0,Leans Democrat,Food Processing & Sales
Tyson Foods,575161,102360,120308,1250,350000,0,Leans Conservative,Food Processing & Sales
Reyes Holdings,379539,74446,295085,59000,10000,0,Leans Republican,Food Processing & Sales
Publix Super Markets,343832,87340,254987,90,434,0,Leans Republican,Food Processing & Sales
Kroger Co,277034,145733,123473,3075,500,515,Leans Democrat,Food Processing & Sales
Kind LLC,260700,20800,14900,0,225000,0,Leans Conservative,Food Processing & Sales
Albertsons Companies,187134,100842,81846,0,30,0,Leans Democrat,Food Processing & Sales
Kraft Heinz Co,172867,90788,81729,340,0,0,Leans Democrat,Food Processing & Sales
JM Smucker Co,167188,33975,133194,0,0,0,Leans Republican,Food Processing & Sales
Goya Foods,166211,2805,63406,0,100000,0,Leans Conservative,Food Processing & Sales
Morning Star Co,159526,20,34605,0,75000,0,Leans Conservative,Food Processing & Sales
Castellini Co,154400,0,99400,0,55000,0,Leans Republican,Food Processing & Sales
Don Lee Farms,146448,146448,0,0,0,0,Leans Democrat,Food Processing & Sales
Rosens Diversified,146300,0,146300,0,0,0,Leans Republican,Food Processing & Sales
PepsiCo Inc,115958,67401,44405,229,108,0,Leans Democrat,Food Processing & Sales
Dot Foods,112606,3566,108885,0,0,0,Leans Republican,Food Processing & Sales
General Mills,100568,69319,28968,1000,0,0,Leans Democrat,Food Processing & Sales
National Grocers Assn,91500,25000,66500,0,0,0,Leans Republican,Food Processing & Sales
Kennedy Rice Mill LLC,88500,0,88500,0,0,0,Leans Republican,Food Processing & Sales
UnitedHealth Group,1132599,417448,603220,26943,100000,0,Leans Republican,HMOs & Health Care Services
Curai Health,1000150,0,150,1000000,0,0,Leans Liberal,HMOs & Health Care Services
DaVita Inc,935136,279224,288705,132,30000,345000,On the fence,HMOs & Health Care Services
Blue Cross/Blue Shield,823247,435247,374779,51525,1000,0,Leans Democrat,HMOs & Health Care Services
NextGen Management,631030,0,581030,0,100000,0,Leans Republican,HMOs & Health Care Services
Chicago Pacific Founders,626700,0,76700,0,550000,0,Leans Conservative,HMOs & Health Care Services
Kaiser Permanente,614039,500990,82925,19367,1875,0,Leans Democrat,HMOs & Health Care Services
Transcarent,608617,388516,101,20000,0,200000,Leans Democrat,HMOs & Health Care Services
Centene Corp,600599,417687,175368,56397,0,0,Leans Democrat,HMOs & Health Care Services
Integra Connect,545651,50,44601,0,501000,0,Leans Conservative,HMOs & Health Care Services
Seleni Institute,408963,408963,0,0,0,0,Leans Democrat,HMOs & Health Care Services
Molina Healthcare,358402,160526,187252,10000,0,0,Leans Republican,HMOs & Health Care Services
Humana Inc,344025,170423,168927,600,0,0,Leans Democrat,HMOs & Health Care Services
Epic Systems,268943,149779,115986,839,0,0,Leans Democrat,HMOs & Health Care Services
Acadian Ambulance Service,258675,507,90665,0,167500,0,Leans Conservative,HMOs & Health Care Services
Jackson Healthcare,246347,130,46217,0,200000,0,Leans Conservative,HMOs & Health Care Services
Fresenius Medical Care,220996,97714,123205,0,0,0,Leans Republican,HMOs & Health Care Services
Global Rescue LLC,199400,0,198400,1000,0,0,Leans Republican,HMOs & Health Care Services
Laboratory Corp of America,194459,93216,100841,0,0,0,Leans Republican,HMOs & Health Care Services
ASPIRE HEALTH,188000,38000,0,100000,50000,0,Leans Liberal,HMOs & Health Care Services
Mountaire Corp,6544070,11,1394059,0,5150000,0,Leans Conservative,Poultry & Eggs
National Turkey Federation,268500,76000,192500,0,0,0,Leans Republican,Poultry & Eggs
National Chicken Council,118000,20000,98000,0,0,0,Leans Republican,Poultry & Eggs
Crossroads Properties A,80000,0,80000,0,0,0,Leans Republican,Poultry & Eggs
Versova Management,72832,1500,71332,0,0,0,Leans Republican,Poultry & Eggs
United Egg Assn,68500,23500,35000,0,0,0,Leans Republican,Poultry & Eggs
Cooper Farms,45675,75,45600,0,0,0,Leans Republican,Poultry & Eggs
Farbest Foods,43500,0,18500,0,25000,0,Leans Conservative,Poultry & Eggs
Midwest Poultry Services,43000,6600,36400,0,0,0,Leans Republican,Poultry & Eggs
Bell & Evans,35000,0,35000,0,0,0,Leans Republican,Poultry & Eggs
Twj Farms,32106,0,32106,0,0,0,Leans Republican,Poultry & Eggs
Wayne Farms,21006,0,21006,0,0,0,Leans Republican,Poultry & Eggs
Herbruck's Poultry Ranch,20927,-9600,30527,0,0,0,Leans Republican,Poultry & Eggs
Mps Egg Farms,14902,3300,11602,0,0,0,Leans Republican,Poultry & Eggs
US Poultry & Egg Assn,13700,7000,6700,5000,0,0,Leans Democrat,Poultry & Eggs
Talley Farms (North Carolina),11250,0,11250,0,0,0,Leans Republican,Poultry & Eggs
Maple Leaf Farms,10584,125,10439,0,0,0,Leans Republican,Poultry & Eggs
Fieldale Farms,10389,343,10046,0,0,0,Leans Republican,Poultry & Eggs
Wayne-Sanderson Farms,9361,2456,6892,0,0,0,Leans Republican,Poultry & Eggs
Foster Farms,8701,1908,6368,100,0,0,Leans Republican,Poultry & Eggs
Southern Waste Systems,236700,0,36700,0,200000,0,Leans Conservative,"Garbage Collection,Waste Management"
River Birch Inc,182800,45400,36400,1000,100000,0,Leans Conservative,"Garbage Collection,Waste Management"
Waste Management Inc,88585,48990,37190,1500,0,0,Leans Democrat,"Garbage Collection,Waste Management"
California Waste Solutions,75400,47200,28200,0,0,0,Leans Democrat,"Garbage Collection,Waste Management"
Beasley Assoc,73446,64445,1,12250,0,0,Leans Democrat,"Garbage Collection,Waste Management"
Kimble Companies,68513,0,48103,0,20410,0,Leans Republican,"Garbage Collection,Waste Management"
Covanta Energy Corp,35220,34220,1000,0,0,0,Leans Democrat,"Garbage Collection,Waste Management"
Republic Services,34071,16746,17168,0,0,0,Leans Republican,"Garbage Collection,Waste Management"
County Waste LLC,33000,0,33000,0,0,0,Leans Republican,"Garbage Collection,Waste Management"
Harrison Industries,25382,0,23837,0,1796,500,Leans Republican,"Garbage Collection,Waste Management"
Abc Disposal Service,20186,0,20186,0,0,0,Leans Republican,"Garbage Collection,Waste Management"
Birmingham Hide & Tallow,18793,0,18768,0,0,0,Leans Republican,"Garbage Collection,Waste Management"
Duong Family Investments,18400,0,18400,0,0,0,Leans Republican,"Garbage Collection,Waste Management"
Cal Waste,18200,0,18200,0,0,0,Leans Republican,"Garbage Collection,Waste Management"
Burrtec Waste Industries,17900,7600,10300,0,0,0,Leans Republican,"Garbage Collection,Waste Management"
Clean Harbors Inc,16668,995,15673,0,0,0,Leans Republican,"Garbage Collection,Waste Management"
Sanitary Service Co,15100,3500,11600,0,0,0,Leans Republican,"Garbage Collection,Waste Management"
Liquid Environmental Solutions,14800,14800,0,0,0,0,Leans Democrat,"Garbage Collection,Waste Management"
Abc Disposal,14245,0,14245,0,0,0,Leans Republican,"Garbage Collection,Waste Management"
Stericycle Inc,14059,11212,1444,0,0,1220,Leans Democrat,"Garbage Collection,Waste Management"
National Assn of Letter Carriers,984800,742921,235364,0,0,0,Leans Democrat,Postal Unions
American Postal Workers Union,918655,382129,32000,0,0,504159,On the fence,Postal Unions
National Rural Letter Carriers Assn,348000,165500,179500,0,0,0,Leans Republican,Postal Unions
United Postmasters & Managers of America,144000,63000,81000,0,0,0,Leans Republican,Postal Unions
National Postal Mail Handlers Union,125000,103000,22000,0,0,0,Leans Democrat,Postal Unions
National Assn of Postal Supervisors,102500,81000,21500,0,0,0,Leans Democrat,Postal Unions
National Beer Wholesalers Assn,973000,477000,491000,0,0,0,Leans Republican,"Liquor, Wine & Beer"
Silver Eagle Beverages,854668,111,124557,0,730000,0,Leans Conservative,"Liquor, Wine & Beer"
Silver Eagle Distributors,689496,0,689496,0,0,0,Leans Republican,"Liquor, Wine & Beer"
Wine & Spirits Wholesalers of America,525694,223747,299447,0,0,0,Leans Republican,"Liquor, Wine & Beer"
Southern Glazer's Wine & Spirits,498799,268985,124157,5150,100000,0,Leans Democrat,"Liquor, Wine & Beer"
Total Wine & More,480436,476167,3399,195,0,0,Leans Democrat,"Liquor, Wine & Beer"
Brown-Forman Corp,444915,306204,136086,0,0,0,Leans Democrat,"Liquor, Wine & Beer"
Mira Winery,308496,0,58496,0,250000,0,Leans Conservative,"Liquor, Wine & Beer"
United Distributors,282575,14350,18225,0,100000,150000,On the fence,"Liquor, Wine & Beer"
Puma Springs Vineyards,271607,269607,0,2000,0,0,Leans Democrat,"Liquor, Wine & Beer"
Sunbelt Beverage,250000,0,0,250000,0,0,Leans Liberal,"Liquor, Wine & Beer"
Constellation Brands,248944,110123,123821,0,0,0,Leans Republican,"Liquor, Wine & Beer"
Breakthru Beverage Group,221253,120649,27551,0,0,55000,Leans Democrat,"Liquor, Wine & Beer"
Anheuser-Busch,208771,93879,113215,1650,0,0,Leans Republican,"Liquor, Wine & Beer"
Wine Institute,134869,85675,49194,28600,0,0,Leans Democrat,"Liquor, Wine & Beer"
Cavalier Distributing,133000,0,33000,0,100000,0,Leans Conservative,"Liquor, Wine & Beer"
Republic National Distributing,126630,18973,107496,0,0,0,Leans Republican,"Liquor, Wine & Beer"
Jackson Family Wines,124976,14332,110644,0,0,0,Leans Republican,"Liquor, Wine & Beer"
Jackson Family Enterprises,112250,45948,65302,1000,0,0,Leans Republican,"Liquor, Wine & Beer"
Magnolia Marketing,100400,19100,74700,0,0,0,Leans Republican,"Liquor, Wine & Beer"
University of California,2628082,2142193,94592,350001,0,35103,Leans Democrat,"Universities, Colleges & Schools"
Stanford University,1148744,965564,49563,139002,0,10000,Leans Democrat,"Universities, Colleges & Schools"
Vassar College,1012348,9892,50,1001894,0,0,Leans Liberal,"Universities, Colleges & Schools"
Harvard University,971402,707038,121547,124670,0,2200,Leans Democrat,"Universities, Colleges & Schools"
Emory University,795544,665104,15889,104766,0,0,Leans Democrat,"Universities, Colleges & Schools"
Johns Hopkins University,710798,665173,26532,10590,0,0,Leans Democrat,"Universities, Colleges & Schools"
University of Michigan,599950,554306,18212,15422,0,0,Leans Democrat,"Universities, Colleges & Schools"
University of California/San Francisco,588905,205417,6536,376573,0,0,Leans Liberal,"Universities, Colleges & Schools"
Columbia University,575816,528132,21997,18672,0,0,Leans Democrat,"Universities, Colleges & Schools"
University of Washington,544522,499340,8690,29814,0,0,Leans Democrat,"Universities, Colleges & Schools"
Massachusetts Institute of Technology,483106,375082,60756,28372,0,0,Leans Democrat,"Universities, Colleges & Schools"
University of Wisconsin,446033,416668,16122,3795,0,0,Leans Democrat,"Universities, Colleges & Schools"
California State University,439286,311716,27981,38123,500,54000,Leans Democrat,"Universities, Colleges & Schools"
University of Texas,438923,370971,50631,10807,225,1333,Leans Democrat,"Universities, Colleges & Schools"
University of Maryland,389182,359669,18754,6179,0,0,Leans Democrat,"Universities, Colleges & Schools"
Duke University,389081,320632,24695,27143,10000,0,Leans Democrat,"Universities, Colleges & Schools"
City University of New York,375857,304109,21240,10262,0,11000,Leans Democrat,"Universities, Colleges & Schools"
University of Pennsylvania,356298,325062,16741,1546,0,0,Leans Democrat,"Universities, Colleges & Schools"
University of Southern California,334201,283425,22115,5801,0,0,Leans Democrat,"Universities, Colleges & Schools"
